LOGO,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Pre-Heater Fan Performance Profile,,,,,,,,,,,,,,
Hourly Report,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
TAG,A_431FM1_F1,B_431FM2_F1,C_431BE1_JT,D_481FM3_FI,E_481FM1_FI,F_481FM2_FI,G_441FN1_TT01,H_441FN1_PT01,I_441FN1_TT02,J_441CN1A_1B_PT01,K_461KL1_PT01,L_441FN1_SZ,M_441FN1_KW_EM,N_441FN1_SPC_POWER
TAG DES,Kiln Feed,Kiln Feed,Kiln Feed BE KW,Kiln  COAL TPH,PC COAL TPH,PC COAL FIRING,PH FAN I/L TEMP,PH Fan Inlet Pressure (PT),PH Fan O/L Temp,PH Fan Outlet DRAFT,Kiln Inlet Pressure (PT),PH Fan speed,PH Fan power EM,PH SPECIFIC POWER
UNIT,tph,tph,Kw,tph,tph,TPH,°C,mmWc,°C,mmWc,mmWc,rpm,Kw,Kw/T Clk
06/01/2019 00:00:00,0.0,299.4,102.0,7.3,10.6,0.0,194.4,-629.4,203.5,-527.7,-64.1,778.4,1098.1,4.2
06/01/2019 01:00:00,0.0,300.1,101.7,7.4,10.6,0.0,194.8,-628.5,200.6,-525.7,-63.1,778.3,1097.8,4.1
06/01/2019 02:00:00,0.0,299.6,101.8,7.4,10.6,0.0,195.0,-621.1,204.0,-518.3,-61.7,771.7,1072.2,4.1
06/01/2019 03:00:00,0.0,300.0,101.7,7.3,10.6,0.0,193.6,-617.0,201.3,-516.4,-62.6,768.2,1057.4,4.1
06/01/2019 04:00:00,0.0,299.7,101.3,7.4,10.6,0.0,193.5,-617.2,200.2,-519.2,-62.3,768.4,1056.1,4.1
06/01/2019 05:00:00,0.0,299.7,101.9,7.3,10.5,0.0,192.9,-622.1,199.7,-524.7,-65.6,768.4,1054.3,4.1
06/01/2019 06:00:00,0.0,268.9,95.0,7.2,9.6,0.0,191.4,-583.8,197.5,-490.1,-63.8,744.1,949.7,4.3
06/01/2019 07:00:00,0.0,226.0,82.5,7.5,7.6,0.0,195.3,-465.7,205.3,-380.6,-45.8,671.5,703.4,4.3
06/01/2019 08:00:00,0.0,260.6,92.9,7.5,9.0,0.0,196.5,-550.1,198.7,-452.4,-52.5,724.0,882.3,4.2
06/01/2019 09:00:00,0.0,261.6,93.4,7.5,8.9,0.0,196.3,-557.4,200.0,-461.3,-55.0,728.8,895.2,4.3
06/01/2019 10:00:00,0.0,260.6,93.1,7.5,9.0,0.0,194.8,-542.7,198.2,-448.4,-45.6,717.9,865.4,4.2
06/01/2019 11:00:00,0.0,260.4,92.8,7.5,8.8,0.0,193.5,-520.4,196.6,-431.9,-40.1,700.9,808.1,4.1
06/01/2019 12:00:00,0.0,263.8,93.4,7.5,8.7,0.0,193.5,-535.3,194.2,-444.7,-42.0,714.1,853.9,4.1
06/01/2019 13:00:00,0.0,278.6,97.7,7.5,9.3,0.0,194.4,-563.9,196.5,-470.7,-43.1,732.2,922.1,4.1
06/01/2019 14:00:00,0.0,278.4,97.0,7.0,9.3,0.0,193.9,-575.9,197.3,-484.0,-48.8,742.5,955.4,4.1
06/01/2019 15:00:00,0.0,278.3,96.7,7.0,9.1,0.0,194.0,-582.9,200.1,-490.3,-50.7,745.4,962.6,4.2
06/01/2019 16:00:00,0.0,278.4,96.9,7.0,9.6,0.0,191.6,-580.1,203.4,-487.4,-48.2,742.0,951.1,4.1
06/01/2019 17:00:00,0.0,278.7,97.2,7.0,9.4,0.0,190.8,-577.5,199.5,-484.5,-47.8,739.5,942.0,4.1
06/01/2019 18:00:00,0.0,278.4,97.2,7.0,9.6,0.0,192.0,-576.9,198.4,-482.2,-50.6,742.3,951.7,4.1
06/01/2019 19:00:00,0.0,277.9,97.0,7.0,9.6,0.0,192.8,-574.4,198.8,-480.3,-53.9,741.9,953.8,4.1
06/01/2019 20:00:00,0.0,278.6,97.3,7.0,9.6,0.0,193.5,-575.9,199.9,-482.5,-53.2,741.9,951.5,4.1
06/01/2019 21:00:00,0.0,278.4,97.1,6.9,9.6,0.0,193.4,-578.2,198.6,-486.2,-53.4,743.3,956.5,4.1
06/01/2019 22:00:00,0.0,278.7,97.5,6.9,9.6,0.0,194.0,-584.3,199.9,-488.1,-55.0,748.2,973.9,4.2
06/01/2019 23:00:00,0.0,277.9,97.1,7.0,9.8,0.0,194.0,-584.0,200.8,-487.5,-53.5,748.2,975.0,4.2
06/02/2019 00:00:00,0.0,278.8,97.0,7.3,9.9,0.0,193.2,-589.0,199.5,-494.1,-57.5,748.3,976.0,4.2
06/02/2019 01:00:00,0.0,280.2,97.1,7.8,10.0,0.0,192.7,-589.2,199.4,-493.7,-58.3,748.2,973.8,4.2
06/02/2019 02:00:00,0.0,279.5,97.1,7.7,9.9,0.0,193.8,-586.8,200.1,-491.2,-57.2,748.3,970.7,4.2
06/02/2019 03:00:00,0.0,279.2,97.0,7.5,10.0,0.0,194.2,-586.5,199.6,-491.4,-57.9,748.3,971.8,4.2
06/02/2019 04:00:00,0.0,279.8,97.0,7.5,10.1,0.0,193.9,-585.5,201.0,-489.7,-55.2,748.3,975.1,4.2
06/02/2019 05:00:00,0.0,279.2,97.4,7.5,10.1,0.0,194.0,-585.9,201.0,-490.7,-56.1,748.3,973.8,4.2
06/02/2019 06:00:00,0.0,279.4,96.8,7.4,10.1,0.0,194.5,-585.9,201.3,-490.5,-56.6,748.3,973.0,4.2
06/02/2019 07:00:00,0.0,278.4,97.2,7.4,10.0,0.0,195.0,-584.7,199.4,-491.2,-58.2,748.2,972.5,4.2
06/02/2019 08:00:00,0.0,277.5,96.8,7.3,10.0,0.0,195.2,-587.3,194.3,-495.3,-59.3,748.3,970.8,4.2
06/02/2019 09:00:00,0.0,277.8,96.6,7.4,10.2,0.0,194.2,-586.9,190.9,-494.7,-59.7,748.2,975.9,4.2
06/02/2019 10:00:00,0.0,277.7,96.4,7.5,10.2,0.0,193.6,-583.6,197.9,-492.4,-59.3,745.9,963.8,4.2
06/02/2019 11:00:00,0.0,278.2,96.4,7.8,10.3,0.0,193.1,-574.4,193.7,-486.4,-51.3,737.8,935.2,4.1
06/02/2019 12:00:00,0.0,278.0,96.7,7.8,10.4,0.0,193.8,-571.5,196.6,-485.3,-50.5,737.8,934.6,4.1
06/02/2019 13:00:00,0.0,278.4,96.5,7.8,10.0,0.0,193.9,-572.7,188.5,-488.7,-47.2,737.8,933.6,4.1
06/02/2019 14:00:00,0.0,278.7,96.9,7.8,10.0,0.0,192.0,-577.6,192.5,-493.8,-48.9,737.8,933.9,4.1
06/02/2019 15:00:00,0.0,278.1,96.7,7.8,10.2,0.0,191.4,-578.6,198.8,-495.2,-49.1,737.9,934.8,4.1
06/02/2019 16:00:00,0.0,278.3,96.6,7.8,10.1,0.0,191.2,-578.4,197.9,-493.9,-50.9,737.9,933.1,4.1
06/02/2019 17:00:00,0.0,277.9,96.3,7.9,10.0,0.0,190.4,-577.3,200.4,-492.6,-51.4,737.9,933.9,4.1
06/02/2019 18:00:00,0.0,278.2,96.2,8.0,9.8,0.0,190.5,-576.1,193.0,-491.1,-55.9,735.4,927.0,4.1
06/02/2019 19:00:00,0.0,277.9,96.6,7.7,9.9,0.0,189.2,-575.1,190.2,-490.9,-53.7,733.9,919.7,4.1
06/02/2019 20:00:00,0.0,278.1,97.0,7.8,9.8,0.0,189.9,-577.7,191.6,-492.5,-54.6,735.4,923.7,4.1
06/02/2019 21:00:00,0.0,268.9,94.6,7.4,9.8,0.0,189.2,-552.9,194.8,-469.0,-47.0,719.3,869.3,4.1
06/02/2019 22:00:00,0.0,272.1,95.4,8.2,9.6,0.0,188.9,-563.5,198.3,-478.4,-48.0,727.0,894.9,4.1
06/02/2019 23:00:00,0.0,272.7,95.2,8.1,9.5,0.0,190.1,-573.8,198.7,-487.5,-51.3,737.6,932.2,4.2
06/03/2019 00:00:00,0.0,272.5,95.1,8.1,9.4,0.0,190.6,-577.1,198.3,-490.4,-57.1,738.0,932.9,4.2
06/03/2019 01:00:00,0.0,272.9,95.2,8.2,9.3,0.0,190.1,-578.1,198.3,-491.4,-58.4,738.1,932.1,4.2
06/03/2019 02:00:00,0.0,273.0,95.6,8.2,9.3,0.0,189.0,-571.4,196.2,-486.1,-54.6,731.4,908.9,4.1
06/03/2019 03:00:00,0.0,267.3,94.3,8.2,9.1,0.0,188.1,-552.7,194.2,-469.0,-48.1,717.0,861.9,4.1
06/03/2019 04:00:00,0.0,272.9,96.0,8.1,9.5,0.0,187.1,-564.5,195.0,-479.0,-48.4,727.0,895.3,4.1
06/03/2019 05:00:00,0.0,272.7,96.2,8.0,9.4,0.0,189.4,-575.0,192.4,-488.3,-56.5,731.1,911.5,4.1
06/03/2019 06:00:00,0.0,272.9,96.2,8.2,9.4,0.0,188.9,-572.0,189.4,-486.1,-55.6,726.9,899.4,4.1
06/03/2019 07:00:00,0.0,272.8,96.7,8.2,9.5,0.0,188.5,-571.9,188.7,-485.3,-53.1,726.9,900.1,4.1
06/03/2019 08:00:00,0.0,277.0,97.5,8.2,9.7,0.0,188.2,-579.5,187.8,-495.2,-51.8,732.1,920.6,4.1
06/03/2019 09:00:00,0.0,279.4,98.1,8.2,10.0,0.0,188.9,-586.1,190.2,-501.5,-50.4,738.0,943.9,4.1
06/03/2019 10:00:00,0.0,229.9,85.1,6.9,8.5,0.0,190.2,-523.0,190.6,-441.5,-41.0,705.2,819.1,4.6
06/03/2019 11:00:00,0.0,235.1,86.8,8.0,7.9,0.0,189.6,-534.2,187.9,-456.3,-52.9,695.9,773.7,4.4
06/03/2019 12:00:00,0.0,226.4,84.0,7.6,8.5,0.0,183.3,-492.1,181.6,-425.0,-51.2,655.8,647.6,4.2
06/03/2019 13:00:00,0.0,209.6,79.2,7.5,8.1,0.0,182.4,-494.2,178.1,-428.1,-66.0,656.8,635.4,4.4
06/03/2019 14:00:00,0.0,194.3,74.8,7.8,7.2,0.0,179.4,-498.6,184.6,-431.7,-85.2,651.0,604.6,4.7
06/03/2019 15:00:00,0.0,180.0,71.1,7.5,6.9,0.0,180.5,-449.0,193.9,-388.0,-79.6,609.1,500.4,4.6
06/03/2019 16:00:00,0.0,179.4,70.8,7.2,6.9,0.0,179.6,-422.5,190.7,-361.4,-74.2,594.9,475.0,4.6
06/03/2019 17:00:00,0.0,144.4,63.4,7.0,5.4,0.0,251.6,-270.7,315.4,-221.3,-35.5,563.0,353.1,5.0
06/03/2019 18:00:00,0.0,160.8,66.5,6.9,5.6,0.0,309.0,-289.0,330.7,-237.1,-28.5,616.7,477.8,5.0
06/03/2019 19:00:00,0.0,202.2,77.1,7.7,7.5,0.0,316.0,-379.5,344.3,-320.9,-35.6,708.1,684.5,4.6
06/03/2019 20:00:00,0.0,240.9,88.4,7.7,9.1,0.0,315.1,-483.7,334.0,-423.9,-46.4,803.7,1004.7,4.7
06/03/2019 21:00:00,0.0,252.0,91.6,7.7,9.2,0.0,303.3,-518.8,327.8,-459.6,-48.3,826.7,1107.1,4.7
06/03/2019 22:00:00,0.0,251.8,91.4,7.8,9.0,0.0,219.9,-535.5,229.2,-446.4,-47.1,747.9,913.7,4.4
06/03/2019 23:00:00,0.0,260.7,93.3,7.9,9.4,0.0,202.2,-557.4,201.9,-468.8,-45.9,731.4,898.2,4.3
06/04/2019 00:00:00,0.0,269.6,95.4,8.0,9.8,0.0,194.9,-579.0,202.0,-489.3,-53.6,741.1,946.6,4.3
06/04/2019 01:00:00,0.0,272.2,95.9,8.0,9.9,0.0,193.8,-582.1,201.8,-491.9,-54.7,742.2,954.2,4.2
06/04/2019 02:00:00,0.0,278.2,97.3,7.9,10.2,0.0,193.0,-580.8,200.1,-492.1,-48.5,740.5,951.9,4.1
06/04/2019 03:00:00,0.0,283.3,98.7,7.8,10.6,0.0,192.7,-590.1,200.4,-499.9,-50.3,746.8,977.1,4.1
06/04/2019 04:00:00,0.0,289.6,100.2,7.8,11.1,0.0,192.5,-597.7,200.4,-505.5,-47.5,752.9,1005.2,4.1
06/04/2019 05:00:00,0.0,289.7,101.0,7.6,11.0,0.0,192.7,-603.6,200.7,-510.3,-47.9,757.2,1020.4,4.1
06/04/2019 06:00:00,0.0,289.9,100.9,7.5,11.0,0.0,192.9,-606.8,199.9,-513.4,-51.7,757.2,1021.7,4.1
06/04/2019 07:00:00,0.0,289.7,100.5,7.7,11.0,0.0,192.5,-603.9,198.0,-510.6,-52.1,757.2,1020.4,4.1
06/04/2019 08:00:00,0.0,293.4,101.4,7.8,11.3,0.0,192.9,-607.1,191.3,-512.6,-50.9,760.2,1032.0,4.1
06/04/2019 09:00:00,0.0,293.7,102.0,7.7,11.4,0.0,193.8,-614.2,199.7,-519.9,-46.8,768.0,1062.4,4.2
06/04/2019 10:00:00,0.0,293.6,101.7,7.8,11.2,0.0,194.8,-613.7,199.3,-521.4,-48.3,769.5,1067.7,4.2
06/04/2019 11:00:00,0.0,299.7,102.9,7.8,11.3,0.0,195.5,-627.0,199.0,-534.3,-49.8,778.7,1102.2,4.2
06/04/2019 12:00:00,0.0,300.4,103.0,8.0,11.0,0.0,196.0,-637.8,196.9,-545.1,-55.9,788.1,1139.4,4.2
06/04/2019 13:00:00,0.0,300.4,102.9,7.9,11.0,0.0,196.3,-638.7,199.2,-546.2,-55.4,789.2,1142.3,4.2
06/04/2019 14:00:00,0.0,300.0,103.2,7.9,10.8,0.0,196.2,-640.9,206.6,-545.7,-54.2,789.0,1143.9,4.2
06/04/2019 15:00:00,0.0,300.0,103.3,8.0,10.8,0.0,196.5,-636.9,208.4,-539.5,-49.5,789.0,1141.3,4.2
06/04/2019 16:00:00,0.0,300.0,103.4,7.5,10.8,0.0,197.2,-639.4,211.2,-541.9,-47.5,789.0,1147.9,4.3
06/04/2019 17:00:00,0.0,302.6,103.4,7.5,10.9,0.0,196.4,-638.7,210.3,-539.6,-48.7,789.0,1143.1,4.2
06/04/2019 18:00:00,0.0,304.2,103.6,7.5,10.9,0.0,196.6,-637.9,205.4,-539.6,-47.1,789.0,1147.3,4.2
06/04/2019 19:00:00,0.0,305.0,104.0,7.5,11.0,0.0,196.9,-637.5,209.2,-538.9,-45.9,789.0,1150.0,4.2
06/04/2019 20:00:00,0.0,310.7,105.7,7.5,11.5,0.0,197.1,-650.5,208.9,-551.8,-47.5,798.3,1190.5,4.2
06/04/2019 21:00:00,0.0,310.8,105.2,7.5,11.3,0.0,197.2,-651.6,208.6,-551.2,-46.4,798.9,1192.5,4.2
06/04/2019 22:00:00,0.0,311.0,105.3,7.5,11.0,0.0,196.8,-652.7,208.0,-551.2,-51.0,799.0,1192.0,4.2
06/04/2019 23:00:00,0.0,311.0,105.1,7.6,11.3,0.0,196.6,-649.8,208.2,-549.8,-48.2,797.5,1187.4,4.2
06/05/2019 00:00:00,0.0,310.7,104.9,7.6,11.1,0.0,195.7,-644.6,206.3,-543.5,-47.6,791.7,1162.4,4.1
06/05/2019 01:00:00,0.0,311.0,105.0,7.5,10.9,0.0,195.3,-640.4,206.1,-540.1,-46.3,788.9,1152.9,4.1
06/05/2019 02:00:00,0.0,311.2,104.8,7.3,10.8,0.0,196.3,-650.6,207.4,-548.2,-48.7,797.9,1185.3,4.2
06/05/2019 03:00:00,0.0,311.1,104.7,7.4,10.9,0.0,197.0,-654.6,207.4,-552.7,-51.0,799.9,1191.6,4.2
06/05/2019 04:00:00,0.0,310.8,105.5,7.5,10.7,0.0,196.9,-652.2,208.1,-549.7,-50.3,800.5,1196.0,4.2
06/05/2019 05:00:00,0.0,311.0,105.8,7.5,10.6,0.0,196.9,-650.2,209.0,-547.0,-52.6,798.6,1189.5,4.2
06/05/2019 06:00:00,0.0,311.3,105.2,7.4,10.6,0.0,197.1,-651.0,208.0,-548.3,-52.8,798.6,1190.5,4.2
06/05/2019 07:00:00,0.0,311.5,105.6,7.3,10.6,0.0,197.0,-654.1,206.9,-551.5,-54.6,798.6,1189.4,4.2
06/05/2019 08:00:00,0.0,307.2,104.1,7.5,10.4,0.0,196.8,-648.5,204.8,-547.7,-59.1,793.7,1166.4,4.2
06/05/2019 09:00:00,0.0,311.4,105.2,7.5,10.7,0.0,196.3,-651.0,202.0,-552.5,-55.5,796.2,1177.6,4.2
06/05/2019 10:00:00,0.0,310.8,105.5,7.3,10.5,0.0,197.4,-656.0,205.4,-555.5,-55.5,801.4,1197.7,4.2
06/05/2019 11:00:00,0.0,310.9,105.1,7.3,10.6,0.0,197.7,-651.1,206.2,-553.1,-55.9,799.4,1188.2,4.2
06/05/2019 12:00:00,0.0,311.1,105.5,7.3,10.6,0.0,197.9,-660.1,205.9,-563.0,-57.4,806.0,1213.5,4.2
06/05/2019 13:00:00,0.0,310.8,105.1,7.4,10.4,0.0,197.6,-652.0,202.5,-556.4,-53.7,800.0,1188.1,4.2
06/05/2019 14:00:00,0.0,303.6,103.8,7.1,10.3,0.0,197.2,-652.3,207.7,-554.4,-60.7,798.6,1174.3,4.3
06/05/2019 15:00:00,0.0,300.3,102.9,7.4,10.1,0.0,196.8,-642.5,215.6,-547.8,-58.0,792.6,1149.0,4.2
06/05/2019 16:00:00,0.0,302.0,103.5,7.4,9.4,0.0,197.4,-635.9,219.1,-538.0,-49.3,793.7,1161.2,4.3
06/05/2019 17:00:00,0.0,308.6,105.2,7.4,10.6,0.0,197.3,-654.0,215.6,-555.3,-53.2,804.1,1209.1,4.3
06/05/2019 18:00:00,0.0,304.2,103.7,7.6,12.6,0.0,197.5,-653.8,209.9,-553.8,-57.5,804.4,1202.0,4.3
06/05/2019 19:00:00,0.0,310.8,105.9,7.5,13.1,0.0,196.7,-653.4,208.1,-554.2,-54.8,802.7,1201.4,4.2
06/05/2019 20:00:00,0.0,311.4,106.1,7.5,13.1,0.0,196.2,-655.1,207.6,-555.5,-53.8,802.8,1202.5,4.2
06/05/2019 21:00:00,0.0,311.2,106.0,7.4,13.2,0.0,196.2,-654.9,207.7,-553.5,-51.8,802.7,1203.2,4.2
06/05/2019 22:00:00,0.0,310.9,106.8,7.3,13.2,0.0,196.8,-665.5,208.7,-562.6,-57.9,810.7,1238.1,4.3
06/05/2019 23:00:00,0.0,283.0,99.0,7.2,11.4,0.0,195.7,-647.3,207.6,-546.7,-59.9,802.5,1196.5,4.7
06/06/2019 00:00:00,0.0,276.9,98.9,7.2,12.2,0.0,192.7,-617.1,203.3,-523.2,-55.5,773.1,1074.1,4.4
06/06/2019 01:00:00,0.0,289.7,101.4,7.2,12.7,0.0,193.9,-624.6,204.6,-531.7,-51.7,778.1,1095.5,4.3
06/06/2019 02:00:00,0.0,300.9,103.9,7.3,13.3,0.0,195.7,-651.6,207.5,-555.6,-53.9,798.6,1178.6,4.3
06/06/2019 03:00:00,0.0,303.3,104.7,7.4,13.2,0.0,196.4,-652.6,208.5,-556.1,-53.7,799.7,1182.8,4.3
06/06/2019 04:00:00,0.0,302.0,104.3,7.6,13.3,0.0,197.1,-652.6,209.5,-554.6,-50.8,802.8,1194.9,4.3
06/06/2019 05:00:00,0.0,304.9,106.0,7.6,13.0,0.0,197.8,-652.8,206.7,-554.2,-49.3,801.4,1193.5,4.3
06/06/2019 06:00:00,0.0,302.1,105.7,7.6,13.1,0.0,196.3,-652.7,207.0,-556.7,-50.9,800.4,1185.7,4.3
06/06/2019 07:00:00,0.0,303.0,105.9,7.5,13.3,0.0,196.6,-654.9,196.4,-557.1,-49.1,801.1,1190.8,4.3
06/06/2019 08:00:00,0.0,306.1,106.3,7.5,12.1,0.0,197.7,-654.6,203.0,-556.8,-47.2,802.8,1198.6,4.3
06/06/2019 09:00:00,0.0,310.7,107.2,7.5,11.1,0.0,197.1,-657.2,200.8,-560.9,-45.9,802.8,1203.2,4.2
06/06/2019 10:00:00,0.0,310.5,107.1,7.5,11.3,0.0,196.6,-656.5,200.3,-560.6,-51.3,802.8,1202.2,4.2
06/06/2019 11:00:00,0.0,311.1,107.4,7.4,11.5,0.0,196.3,-662.6,200.0,-565.4,-54.7,806.3,1217.3,4.3
06/06/2019 12:00:00,0.0,310.9,106.8,7.4,11.7,0.0,197.0,-660.3,201.9,-564.1,-54.0,805.3,1213.9,4.2
06/06/2019 13:00:00,0.0,311.3,106.3,7.3,11.5,0.0,196.6,-656.2,200.9,-561.3,-56.0,802.7,1198.6,4.2
06/06/2019 14:00:00,0.0,311.2,106.6,7.1,11.7,0.0,196.4,-664.5,200.0,-564.8,-57.6,808.4,1225.3,4.3
06/06/2019 15:00:00,0.0,310.9,106.4,7.0,11.8,0.0,197.4,-670.0,217.0,-570.7,-58.3,813.1,1242.6,4.3
06/06/2019 16:00:00,0.0,311.0,106.8,7.0,11.9,0.0,197.0,-668.8,216.2,-569.2,-56.5,812.0,1238.2,4.3
06/06/2019 17:00:00,0.0,311.4,106.2,7.2,11.7,0.0,196.9,-658.4,210.5,-558.7,-53.8,803.2,1201.5,4.2
06/06/2019 18:00:00,0.0,313.1,106.4,6.9,11.8,0.0,197.4,-670.5,202.9,-568.9,-58.6,811.6,1237.7,4.3
06/06/2019 19:00:00,0.0,315.1,107.2,6.8,11.6,0.0,197.1,-677.9,199.7,-576.1,-63.4,816.4,1258.6,4.3
06/06/2019 20:00:00,0.0,315.2,107.5,7.0,11.8,0.0,196.9,-676.6,198.8,-573.7,-59.6,813.4,1246.7,4.2
06/06/2019 21:00:00,0.0,315.3,107.4,7.0,11.6,0.0,197.3,-691.9,201.5,-587.1,-67.3,826.4,1303.9,4.3
06/06/2019 22:00:00,0.0,314.7,106.9,7.4,11.4,0.0,197.8,-690.2,208.1,-588.2,-71.9,822.6,1285.0,4.3
06/06/2019 23:00:00,0.0,314.8,106.9,7.5,11.5,0.0,196.9,-685.4,209.1,-582.4,-67.5,819.3,1274.3,4.3
06/07/2019 00:00:00,0.0,315.0,107.4,7.5,11.3,0.0,198.0,-682.0,210.4,-577.9,-64.9,819.4,1275.4,4.3
06/07/2019 01:00:00,0.0,314.9,107.3,7.3,11.1,0.0,198.6,-679.3,208.4,-574.1,-61.9,819.4,1273.3,4.3
06/07/2019 02:00:00,0.0,315.1,106.7,7.2,11.2,0.0,198.1,-681.4,210.0,-578.7,-70.0,818.7,1271.1,4.3
06/07/2019 03:00:00,0.0,315.2,107.1,7.2,11.3,0.0,197.0,-676.3,205.4,-573.8,-65.4,813.3,1247.9,4.2
06/07/2019 04:00:00,0.0,315.1,107.0,7.4,11.4,0.0,197.1,-674.9,205.7,-570.5,-61.1,813.3,1247.9,4.2
06/07/2019 05:00:00,0.0,315.2,107.7,7.4,11.5,0.0,197.4,-680.6,209.0,-574.7,-65.4,817.1,1266.6,4.3
06/07/2019 06:00:00,0.0,315.1,107.6,7.4,11.5,0.0,198.1,-684.5,207.5,-577.4,-69.2,819.4,1272.3,4.3
06/07/2019 07:00:00,0.0,315.3,107.7,7.4,11.6,0.0,198.5,-684.5,205.9,-577.7,-68.5,819.4,1274.5,4.3
06/07/2019 08:00:00,0.0,315.5,107.3,7.2,11.5,0.0,198.7,-687.1,201.3,-583.5,-71.7,819.4,1270.4,4.3
06/07/2019 09:00:00,0.0,310.9,106.2,7.5,11.3,0.0,198.3,-697.0,199.9,-595.3,-75.5,822.4,1278.1,4.3
06/07/2019 10:00:00,0.0,301.2,103.8,7.5,11.1,0.0,199.0,-671.0,202.6,-577.8,-69.6,806.2,1203.7,4.3
06/07/2019 11:00:00,0.0,301.4,103.9,7.5,10.8,0.0,200.7,-679.4,201.2,-585.4,-74.5,811.1,1219.2,4.4
06/07/2019 12:00:00,0.0,289.6,101.0,7.6,10.3,0.0,199.1,-624.6,199.6,-536.9,-62.8,771.7,1067.1,4.2
06/07/2019 13:00:00,0.0,285.0,100.1,7.5,10.0,0.0,195.6,-604.3,192.2,-519.3,-56.3,758.4,1010.8,4.2
06/07/2019 14:00:00,0.0,280.9,99.6,7.1,9.8,0.0,196.1,-603.7,201.6,-517.9,-62.2,757.4,1000.0,4.2
06/07/2019 15:00:00,0.0,271.0,96.9,6.7,9.5,0.0,195.5,-581.9,212.1,-498.0,-61.7,740.5,934.5,4.2
06/07/2019 16:00:00,0.0,260.1,94.2,7.5,9.4,0.0,193.2,-553.9,210.6,-471.1,-55.2,720.9,869.6,4.2
06/07/2019 17:00:00,0.0,260.5,94.4,7.5,9.2,0.0,193.6,-560.5,209.9,-476.0,-57.5,727.3,885.6,4.2
06/07/2019 18:00:00,0.0,267.0,95.7,7.4,9.5,0.0,194.5,-570.0,200.6,-484.7,-54.6,736.8,921.4,4.2
06/07/2019 19:00:00,0.0,270.8,96.9,7.1,10.0,0.0,194.3,-571.6,196.7,-486.2,-51.7,737.2,926.0,4.2
06/07/2019 20:00:00,0.0,272.8,97.6,6.7,10.3,0.0,194.1,-576.3,196.1,-490.3,-48.8,740.4,939.2,4.2
06/07/2019 21:00:00,0.0,277.5,98.7,6.7,10.4,0.0,194.2,-594.0,198.1,-504.4,-51.6,749.7,972.9,4.2
06/07/2019 22:00:00,0.0,279.9,99.3,6.9,10.2,0.0,193.6,-600.7,197.6,-510.4,-53.8,752.5,979.4,4.2
06/07/2019 23:00:00,0.0,279.0,98.9,7.0,10.1,0.0,192.9,-601.4,197.4,-510.7,-52.0,751.9,979.9,4.2
06/08/2019 00:00:00,0.0,260.1,94.3,6.6,9.5,0.0,192.7,-580.7,196.5,-491.8,-58.1,738.3,923.3,4.3
06/08/2019 01:00:00,0.0,259.9,94.4,7.1,9.1,0.0,191.6,-583.2,192.6,-497.2,-62.9,737.8,922.1,4.3
06/08/2019 02:00:00,0.0,260.4,94.6,7.0,9.4,0.0,190.0,-562.9,190.3,-481.1,-58.4,718.2,856.4,4.2
06/08/2019 03:00:00,0.0,260.8,94.6,6.8,9.6,0.0,188.4,-566.3,191.1,-485.0,-62.6,718.2,858.1,4.2
06/08/2019 04:00:00,0.0,260.3,94.5,6.8,9.7,0.0,188.0,-566.8,190.6,-485.4,-65.2,718.2,854.3,4.2
06/08/2019 05:00:00,0.0,255.8,94.0,6.8,9.4,0.0,188.1,-560.0,190.8,-479.2,-60.8,713.7,836.4,4.2
06/08/2019 06:00:00,0.0,250.6,92.7,6.8,9.4,0.0,188.0,-551.1,191.1,-468.8,-55.1,708.9,823.1,4.2
06/08/2019 07:00:00,0.0,232.7,87.4,7.3,8.5,0.0,188.4,-506.6,190.3,-423.8,-46.2,681.0,734.7,4.3
06/08/2019 08:00:00,0.0,252.6,93.3,7.4,9.1,0.0,190.7,-542.8,191.0,-458.6,-46.2,709.6,830.9,4.2
06/08/2019 09:00:00,0.0,269.4,96.9,7.1,10.4,0.0,191.7,-577.3,192.1,-492.6,-45.8,737.1,925.1,4.2
06/08/2019 10:00:00,0.0,269.5,96.6,7.0,12.1,0.0,193.0,-574.4,193.0,-491.0,-41.5,737.4,927.0,4.2
06/08/2019 11:00:00,0.0,270.8,97.0,6.8,12.4,0.0,192.9,-574.5,195.6,-492.0,-41.1,738.4,930.3,4.2
06/08/2019 12:00:00,0.0,279.6,98.7,6.8,12.7,0.0,192.9,-596.4,198.8,-513.0,-45.1,754.1,987.0,4.2
06/08/2019 13:00:00,0.0,283.7,99.5,6.9,12.7,0.0,194.8,-615.8,192.0,-530.5,-48.4,767.8,1038.5,4.2
06/08/2019 14:00:00,0.0,284.5,100.1,6.8,12.0,0.0,195.1,-617.8,200.7,-532.1,-50.5,767.8,1037.1,4.2
06/08/2019 15:00:00,0.0,282.4,99.6,6.8,11.1,0.0,193.7,-617.2,211.0,-527.9,-51.5,768.8,1048.3,4.3
06/08/2019 16:00:00,0.0,284.4,100.3,6.8,11.7,0.0,192.2,-621.7,211.4,-533.1,-49.0,767.9,1041.3,4.2
